"param_comb_id","cp","maxdepth","minsplit","minbucket","accuracy","f1","auc","recall","precision","brier_score","balanced_accuracy","discrepancy","default"
1,0,1,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
2,0.01,1,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
3,0.166666666666667,1,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
4,0.25,1,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
5,0.333333333333333,1,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
6,0.416666666666667,1,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
7,0.5,1,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
8,0.583333333333333,1,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
9,0.666666666666667,1,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
10,0.75,1,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
11,0.833333333333333,1,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
12,0.916666666666667,1,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
13,1,1,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
14,0,3,1,1,0.96734693877551,0.983333333333333,0.674248417721519,0.9957805907173,0.97119341563786,0.0285131484386725,0.9957805907173,0,FALSE
15,0.01,3,1,1,0.96734693877551,0.983333333333333,0.674248417721519,0.9957805907173,0.97119341563786,0.0285131484386725,0.9957805907173,0,FALSE
16,0.166666666666667,3,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
17,0.25,3,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
18,0.333333333333333,3,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
19,0.416666666666667,3,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
20,0.5,3,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
21,0.583333333333333,3,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
22,0.666666666666667,3,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
23,0.75,3,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
24,0.833333333333333,3,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
25,0.916666666666667,3,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
26,1,3,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
27,0,6,1,1,0.96530612244898,0.982236154649948,0.69620253164557,0.991561181434599,0.973084886128364,0.0316051975777345,0.991561181434599,0.0102040816326531,FALSE
28,0.01,6,1,1,0.969387755102041,0.984391259105099,0.674775843881857,0.99789029535865,0.971252566735113,0.0284121922548888,0.99789029535865,0.00204081632653061,FALSE
29,0.166666666666667,6,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
30,0.25,6,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
31,0.333333333333333,6,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
32,0.416666666666667,6,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
33,0.5,6,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
34,0.583333333333333,6,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
35,0.666666666666667,6,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
36,0.75,6,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
37,0.833333333333333,6,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
38,0.916666666666667,6,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
39,1,6,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
40,0,8,1,1,0.959183673469388,0.979035639412998,0.550501054852321,0.985232067510548,0.972916666666667,0.037212960032225,0.985232067510548,0.0163265306122449,FALSE
41,0.01,8,1,1,0.969387755102041,0.984391259105099,0.674907700421941,0.99789029535865,0.971252566735113,0.0283499871545009,0.99789029535865,0.00204081632653061,FALSE
42,0.166666666666667,8,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
43,0.25,8,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
44,0.333333333333333,8,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
45,0.416666666666667,8,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
46,0.5,8,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
47,0.583333333333333,8,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
48,0.666666666666667,8,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
49,0.75,8,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
50,0.833333333333333,8,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
51,0.916666666666667,8,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
52,1,8,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
53,0,11,1,1,0.953061224489796,0.975814931650894,0.533755274261603,0.978902953586498,0.972746331236897,0.0435602176426198,0.978902953586498,0.0183673469387755,FALSE
54,0.01,11,1,1,0.969387755102041,0.984391259105099,0.674907700421941,0.99789029535865,0.971252566735113,0.0283499871545009,0.99789029535865,0.00204081632653061,FALSE
55,0.166666666666667,11,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
56,0.25,11,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
57,0.333333333333333,11,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
58,0.416666666666667,11,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
59,0.5,11,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
60,0.583333333333333,11,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
61,0.666666666666667,11,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
62,0.75,11,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
63,0.833333333333333,11,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
64,0.916666666666667,11,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
65,1,11,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
66,0,13,1,1,0.951020408163265,0.974683544303797,0.564082278481013,0.974683544303797,0.974683544303797,0.0486410066847533,0.974683544303797,0.0244897959183673,FALSE
67,0.01,13,1,1,0.969387755102041,0.984391259105099,0.674907700421941,0.99789029535865,0.971252566735113,0.0283499871545009,0.99789029535865,0.00204081632653061,FALSE
68,0.166666666666667,13,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
69,0.25,13,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
70,0.333333333333333,13,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
71,0.416666666666667,13,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
72,0.5,13,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
73,0.583333333333333,13,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
74,0.666666666666667,13,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
75,0.75,13,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
76,0.833333333333333,13,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
77,0.916666666666667,13,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
78,1,13,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
79,0,16,1,1,0.946938775510204,0.972457627118644,0.5625,0.968354430379747,0.976595744680851,0.0529194171119394,0.968354430379747,0.0326530612244898,FALSE
80,0.01,16,1,1,0.969387755102041,0.984391259105099,0.674907700421941,0.99789029535865,0.971252566735113,0.0283499871545009,0.99789029535865,0.00204081632653061,FALSE
81,0.166666666666667,16,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
82,0.25,16,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
